,Price,Adress,Total Finished Area:,Bedrooms:,Bathrooms:,Architectural Style:,Association Fee Includes:,Built in:,Condo Fees:,Construction Materials:,Cooling:,Exterior Features:,Fireplace Features:,Floor Space (approx):,Flooring:,Foundation Details:,Heating:,Interior Features:,Levels:,Parking Features:,Roof:,Zoning:,Lot Size:,Utilities:,Water Source:,Sewer:,Air Conditioning:,Pool:,Irregular:,Waterfront Features:,Garage:,Style:,Building Type:,Amenities:,Exterior Finish:,Fireplace:,Heating Type:,Cooling Type:,OwnershipType:,Property Type:,Features:,No. of Parking Spaces:
435,"$439,000","259 Silverado Plains Park SW, Calgary, AB, T2X 1Y9",1387.33,3+0,2+1,5 Level Split,"Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal, Trash",2014,$457 Monthly,"Composite Siding, Stone, Wood Frame",None,"Garden, Lighting",,1387.33 Square Feet,"Carpet, Ceramic Tile, Laminate",Poured Concrete,"Forced Air, Natural Gas","Built-in Features, High Ceilings, Walk-In Closet(s)",5 Level Split,"Double Garage Attached, Driveway",Asphalt Shingle,DC,,,,,,,,,,,,,,,,,,,,
436,"$509,900","26 Royal Crest Point NW, Calgary, AB, T3G 5W5",1584.00,3+1,3+1,"2 Storey, Side by Side","Amenities of HOA/Condo, Common Area Maintenance, Insurance, Maintenance Grounds, Parking, Professional Management, Reserve Fund Contributions, Snow Removal",2004,$400 Monthly,"Stone, Stucco, Wood Frame",None,None,"Gas, Living Room",1584.00 Square Feet,"Carpet, Ceramic Tile, Hardwood, Linoleum",Poured Concrete,"Forced Air, Natural Gas","Kitchen Island, No Smoking Home, Open Floorplan, Pantry, Storage",Two,"Double Garage Attached, Garage Faces Front, Insulated",Cedar Shake,R-C2,2604.00 Square Feet,,,,,,,,,,,,,,,,,,,
437,"$395,000","260-15 Everstone Drive SW, Calgary, AB, T2Y 5B5",1063.00,2+0,2+0,Apartment,"Amenities of HOA/Condo, Common Area Maintenance, Electricity, Gas, Heat, Insurance, Maintenance Grounds, Parking, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Trash, Water",2005,$661 Monthly,"Brick, Stucco, Wood Frame",Central Air,Courtyard,Electric,1063.00 Square Feet,"Carpet, Linoleum",,"Hot Water, Natural Gas","Breakfast Bar, Closet Organizers, High Ceilings, Open Floorplan, Storage, Walk-In Closet(s)",Single Level Unit,"Off Street, Parkade, Titled, Underground",,M-2,,,,,Yes,Yes,,,,,,,,,,,,,,
438,"$939,900","260 Pump Hill Crescent SW, Calgary, AB, T2V 4L5",2080.12,3+0,2+1,4 Level Split,,1976,,"Brick, Stucco, Wood Frame",Central Air,"Garden, Lighting, Private Yard","Family Room, Gas Log",2080.12 Square Feet,"Carpet, Hardwood, Slate, Vinyl",Poured Concrete,"High Efficiency, Forced Air, Natural Gas","Bar, Built-in Features, Central Vacuum, Closet Organizers, Double Vanity, Granite Counters, Jetted Tub, Kitchen Island, No Smoking Home, Smart Home",4 Level Split,"Double Garage Attached, Driveway",Asphalt Shingle,R-C1,8438.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
439,"$495,000","2607-1122 3 Street SE, Calgary, AB, T2G 1H7",830.48,2+0,2+0,Apartment,"Amenities of HOA/Condo, Common Area Maintenance, Heat, Insurance, Parking, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Trash",2015,$707 Monthly,"Concrete, Stone",Central Air,"Courtyard, Outdoor Grill",,830.48 Square Feet,"Ceramic Tile, Laminate",,"Fan Coil, In Floor, Natural Gas","Granite Counters, Kitchen Island, No Smoking Home, Open Floorplan",Single Level Unit,"Heated Garage, Parkade, Secured, Underground",,DC (pre 1P2007),,,,,Yes,,,,,,,,,,,,,,,
440,"$1,195,000","2608 18 Street, Calgary, AB, T2T 4T5",2297.00,3+1,4+1,"3 Storey, Side by Side",,2023,,"Stone, Stucco",Central Air,Private Yard,"Gas, Living Room",2297.00 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,"In Floor, Forced Air","Built-in Features, Closet Organizers, No Animal Home, No Smoking Home, Soaking Tub, Walk-In Closet(s), Wet Bar, Wired for Sound",Three Or More,Double Garage Detached,Asphalt,R-C2,2906.00 Square Feet,,,,Yes,,Yes,,,,,,,,,,,,,
441,"$674,900","2608 Charlebois Drive NW, Calgary, AB, T2L 0T6",1090.00,2+2,2+0,"Bungalow, Up/Down",,1960,,"Stucco, Wood Siding",None,Private Yard,"Basement, Wood Burning",1090.00 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,"Forced Air, Natural Gas",No Smoking Home,One,"Alley Access, Off Street, Outside, Single Garage Detached",Asphalt Shingle,R-C1,5295.00 Square Feet,,,,,,,,,,,,,,,,,,,
442,"$675,000","262 Masters Row SE, Calgary, AB, T3M 2R8",1613.00,3+1,3+1,2 Storey,,2018,,Wood Frame,Central Air,Private Entrance,,1613.00 Square Feet,"Carpet, Laminate",Poured Concrete,"Forced Air, Natural Gas","Bar, Kitchen Island, No Animal Home, No Smoking Home, Open Floorplan, Pantry, Separate Entrance",Two,"Alley Access, Outside, Parking Pad, See Remarks",Asphalt Shingle,R-1N,2960.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
443,"$1,074,900","2622 25A Street SW, Calgary, AB, T3E 1Z4",2002.98,3+1,4+1,2 Storey,,2023,,"Stone, Wood Frame, Wood Siding",Rough-In,None,Gas,2002.98 Square Feet,"Carpet, Hardwood, Tile",Poured Concrete,"In Floor Roughed-In, Forced Air, Natural Gas","Built-in Features, High Ceilings, Kitchen Island, Low Flow Plumbing Fixtures, No Animal Home, No Smoking Home, Open Floorplan, Pantry, Storage, Vaulted Ceiling(s), Wet Bar",Two,Double Garage Detached,Asphalt Shingle,R-C2,3100.00 Square Feet,,,,,,,,,,,,,,,,,,,
444,"$949,900","2632 3 Avenue NW, Calgary, AB, T2N 0L5",1767.99,3+1,3+1,"2 Storey, Side by Side",,2009,,"Stucco, Wood Frame",Central Air,"Lighting, Other, Private Yard",Gas,1767.99 Square Feet,"Carpet, Hardwood, Tile",Poured Concrete,"Forced Air, Natural Gas","High Ceilings, Pantry, See Remarks, Skylight(s), Wet Bar",Two,Double Garage Detached,Asphalt Shingle,R-C2,2985.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
445,"$219,990","2658 Oakmoor Drive SW, Calgary, AB, T2V 4E8",469.60,0+2,1+0,"1 and Half Storey, Side by Side","Common Area Maintenance, Parking, Professional Management, Reserve Fund Contributions, Snow Removal",1975,$484 Monthly,"Vinyl Siding, Wood Frame",Central Air,Lighting,Wood Burning,469.60 Square Feet,"Carpet, Laminate",Wood,"Fireplace(s), Forced Air","Beamed Ceilings, Closet Organizers, High Ceilings, No Animal Home, No Smoking Home, Open Floorplan, Vaulted Ceiling(s)",One and One Half,Parkade,Asphalt Shingle,M-C1,,,,,Yes,,,,,,,,,,,,,,,
446,"$659,900","269 Acadia Drive SE, Calgary, AB, T2J 0A6",1026.70,2+2,3+0,Bungalow,,1961,,"Stucco, Wood Siding",None,"Lighting, Private Yard",Electric,1026.70 Square Feet,"Carpet, Vinyl",Poured Concrete,"Central, Natural Gas",Wet Bar,One,"Double Garage Detached, Off Street",Asphalt Shingle,R-C1,6006.00 Square Feet,,,,,,,,,,,,,,,,,,,
447,"$389,900","27-27 Evanscrest Park NW, Calgary, AB, T3R 1V5",1191.53,2+0,2+1,3 Storey,"Common Area Maintenance, Professional Management, Reserve Fund Contributions, Snow Removal",2017,$233 Monthly,"Concrete, Vinyl Siding",None,Other,,1191.53 Square Feet,,Poured Concrete,"Forced Air, Natural Gas","High Ceilings, Open Floorplan",Three Or More,"On Street, Single Garage Attached",Asphalt Shingle,M-G,796.00 Square Feet,,,,,,,,,,,,,,,,,,,
448,"$510,000","27 Cranberry Green SE, Calgary, AB, T3M 1L5",851.47,2+1,2+0,Bi-Level,,2005,,Wood Frame,None,Private Yard,"Basement, Decorative, Electric",851.47 Square Feet,"Ceramic Tile, Hardwood",Poured Concrete,"Forced Air, Natural Gas","Closet Organizers, Kitchen Island, No Animal Home, No Smoking Home, Skylight(s), Storage",Bi-Level,"Alley Access, Off Street, On Street",Asphalt Shingle,R-1N,3035.00 Square Feet,,,,,,,,,,,,,,,,,,,
449,"$789,900","27 Signal Hill Way SW, Calgary, AB, T3H 2H1",1650.00,3+1,3+0,Split Level,,1989,,Stucco,Central Air,Private Yard,"Bedroom, Brick Facing, Electric, Family Room, Gas, Recreation Room, Tile",1650.00 Square Feet,"Ceramic Tile, Hardwood",Poured Concrete,"Forced Air, Natural Gas","Beamed Ceilings, Built-in Features, Double Vanity, Kitchen Island, No Smoking Home, Open Floorplan, Soaking Tub, Vaulted Ceiling(s)",3 Level Split,,Asphalt Shingle,R-C1,5834.00 Square Feet,,,,Yes,,,,Yes,,,,,,,,,,,
450,"$989,000","2704 5 Avenue NW, Calgary, AB, T2N 0T8",1848.00,3+1,3+1,"2 Storey, Side by Side",,2023,,"Brick, Stucco, Wood Frame",Rough-In,Barbecue,Gas,1848.00 Square Feet,"Carpet, Hardwood, Tile",Poured Concrete,Forced Air,"Bar, Built-in Features, Central Vacuum, Kitchen Island, Open Floorplan, Pantry, Skylight(s), Smart Home, Vaulted Ceiling(s)",Two,Double Garage Detached,Asphalt Shingle,RC2,2990.00 Square Feet,,,,,,,,,,,,,,,,,,,
451,"$365,000","2705-901 10 Avenue SW, Calgary, AB, T2R 0B5",567.00,1+0,1+0,Apartment,"Caretaker, Common Area Maintenance, Heat, Insurance, Parking, Professional Management, Reserve Fund Contributions, Security Personnel, Sewer, Snow Removal, Water",2017,$463 Monthly,"Concrete, Stone","Central Air, Full","Outdoor Grill, Outdoor Kitchen",,567.00 Square Feet,"Ceramic Tile, Laminate",,"Fan Coil, Natural Gas","Sauna, Steam Room",Single Level Unit,"Stall, Titled, Underground",See Remarks,CC-X,,,,,Yes,Yes,,,,,,,,,,,,,,
452,"$1,425,000","2708 10 Street SW, Calgary, AB, T2T 3H2",2167.56,3+1,3+1,2 Storey,,1941,,"Stucco, Wood Frame",None,"Awning(s), Fire Pit, Private Yard",Gas,2167.56 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,Boiler,"Built-in Features, Ceiling Fan(s), French Door, High Ceilings, Kitchen Island, See Remarks, Vaulted Ceiling(s)",Two,Single Garage Attached,Asphalt Shingle,R-C1,6996.00 Square Feet,,,,,,,,,,,,,,,,,,,
453,"$449,900","2708-211 13 Avenue SE, Calgary, AB, T2G 1E1",865.40,2+0,2+0,High-Rise (5+),"Caretaker, Common Area Maintenance, Heat, Insurance, Parking, Professional Management, Sewer, Snow Removal, Water",2011,$552 Monthly,"Brick, Concrete, Metal Siding, Stone",None,Storage,,865.40 Square Feet,"Carpet, Ceramic Tile, Laminate",,"Forced Air, Natural Gas","High Ceilings, Kitchen Island, No Animal Home, No Smoking Home",Multi Level Unit,Underground,Rubber,DC (pre 1P2007),,,,,,,,,,,,,,,,,,,,
454,"$205,000","2710-221 6 Avenue SE, Calgary, AB, T2G 4Z9",719.85,1+0,1+0,High-Rise (5+),"Common Area Maintenance, Heat, Insurance, Professional Management, Reserve Fund Contributions, Security Personnel, Sewer, Snow Removal, Trash, Water",1980,$537 Monthly,Concrete,None,Courtyard,,719.85 Square Feet,"Laminate, Linoleum",,"Baseboard, Natural Gas","Granite Counters, Recreation Facilities",Single Level Unit,"Parkade, Underground",,CR20-C20/R20,,,,,,,,,,,,,,,,,,,,
455,"$995,000","2711 18 Street NW, Calgary, AB, T2M 3T9",1766.67,3+1,3+1,"2 Storey, Side by Side",,2023,,"Concrete, Wood Frame",Rough-In,"Private Entrance, Private Yard","Gas, Living Room",1766.67 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,"Forced Air, Natural Gas","Built-in Features, Closet Organizers, High Ceilings, Kitchen Island, Pantry, Recessed Lighting, Separate Entrance, Soaking Tub, Vaulted Ceiling(s), Walk-In Closet(s), Wired for Data, Wired for Sound",Two,Double Garage Detached,Asphalt,R - C 2,2935.00 Square Feet,,,,,,,,,,,,,,,,,,,
456,"$510,000","272 Copperstone Gardens SE, Calgary, AB, T2Z 0R6",1337.43,3+0,2+1,2 Storey,,2008,,"Vinyl Siding, Wood Frame",Central Air,Playground,"Gas, Tile",1337.43 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,"Fireplace(s), Forced Air, Natural Gas","Breakfast Bar, Central Vacuum, Kitchen Island, See Remarks, Tankless Hot Water",Two,"220 Volt Wiring, Alley Access, Double Garage Detached, Heated Garage, Oversized",Asphalt Shingle,R-1N,3153.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
457,"$425,000","272 Falshire Way NE, Calgary, AB, T3J 2B4",859.11,2+1,2+0,Bi-Level,,1983,,"Vinyl Siding, Wood Siding",None,"Fire Pit, Private Yard","Gas, Living Room, Mantle",859.11 Square Feet,"Carpet, Linoleum",Poured Concrete,"Central, Natural Gas","Bookcases, Ceiling Fan(s), No Animal Home, No Smoking Home",Bi-Level,"Alley Access, Double Garage Detached, Garage Door Opener, Heated Garage, Insulated, Oversized, RV Access/Parking",Asphalt Shingle,R-C1,4068.00 Square Feet,,,,,,,,,,,,,,,,,,,
458,"$719,000","272 Woodbriar Circle SW, Calgary, AB, T2W 6B4",1982.53,3+0,3+1,2 Storey Split,,1989,,"Stucco, Wood Frame",Central Air,Private Yard,"Basement, Brick Facing, Family Room, Gas",1982.53 Square Feet,Carpet,Poured Concrete,"Forced Air, Natural Gas","Built-in Features, Granite Counters, High Ceilings, See Remarks",Two,Double Garage Attached,Asphalt Shingle,R-C1,5586.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
459,"$1,599,900","2721 4 Avenue NW, Calgary, AB, T2N 0P9",2721.00,4+1,3+1,2 Storey,,2011,,"Composite Siding, Stone",None,"Lighting, Permeable Paving, Private Yard, Rain Gutters","Blower Fan, Gas, Heatilator, Living Room, Mantle, Stone",2721.00 Square Feet,"Carpet, Hardwood, Stone, Tile",Poured Concrete,"High Efficiency, In Floor, Forced Air, Natural Gas","Bookcases, Breakfast Bar, Built-in Features, Closet Organizers, Double Vanity, French Door, Granite Counters, High Ceilings, Kitchen Island, No Smoking Home, Pantry, Recessed Lighting, Soaking Tub, Steam Room, Storage, Vaulted Ceiling(s), Walk-In Closet(s), Wet Bar, Wired for Data, Wired for Sound",Two,"220 Volt Wiring, Double Garage Detached, Garage Door Opener, Garage Faces Rear, Oversized, Side By Side",Asphalt Shingle,R-C2,4563.00 Square Feet,,,,,,,,,,,,,,,,,,,
460,"$589,900","273 Cornerstone Passage NE, Calgary, AB, T3N 1G3",1784.00,3+0,2+1,2 Storey,,2016,,"Concrete, Stone, Vinyl Siding",None,Private Yard,,1784.00 Square Feet,"Carpet, Tile, Wood",Poured Concrete,ENERGY STAR Qualified Equipment,"Granite Counters, Kitchen Island, No Animal Home, Open Floorplan, Pantry",Two,Parking Pad,Asphalt Shingle,R-G,2830.00 Square Feet,,,,,,,,,,,,,,,,,,,
461,"$3,990,000","277 Fortress Manor SW, Calgary, AB, T3H 4Z2",7628.00,7+0,5+2,2 and Half Storey,,1980,,"Brick, Concrete, Other, Wood Frame",Central Air,"Courtyard, Private Entrance, Private Yard, Storage","Bedroom, Coal, Den, Dining Room, Gas, Gas Starter, Great Room, Kitchen, Living Room, Master Bedroom, Other, Recreation Room, See Remarks",7628.00 Square Feet,"Carpet, Ceramic Tile, Hardwood","Poured Concrete, See Remarks","Boiler, In Floor, Forced Air, Hot Water, Natural Gas","Bar, Beamed Ceilings, Bidet, Bookcases, Breakfast Bar, Built-in Features, Central Vacuum, Chandelier, Closet Organizers, Crown Molding, Double Vanity, Elevator, Granite Counters, High Ceilings, Kitchen Island, Natural Woodwork, Pantry, See Remarks, Separate Entrance, Skylight(s), Storage, Walk-In Closet(s), Wet Bar, Wired for Sound",Three Or More,"Driveway, Heated Garage, Insulated, Other, Oversized, Parking Lot",Clay Tile,DC (pre 1P2007),64691.00 Square Feet,,,,Yes,,Yes,,,,,,,,,,,,,
462,"$719,900","278 Autumn Circle SE, Calgary, AB, T3M 0J7",2228.00,3+1,3+1,2 Storey,,2007,,"Vinyl Siding, Wood Frame",Central Air,Private Yard,Gas,2228.00 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,Forced Air,"Breakfast Bar, French Door, High Ceilings, Kitchen Island, No Animal Home, No Smoking Home, Open Floorplan, Pantry, See Remarks",Two,Double Garage Attached,Asphalt Shingle,R-1N,7147.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
463,"$624,900","2786 19 Avenue SW, Calgary, AB, T3E 7P6",1253.00,2+1,3+1,2 Storey,"Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions",2017,$242 Monthly,"Stucco, Vinyl Siding, Wood Frame",Central Air,None,Gas,1253.00 Square Feet,"Carpet, Hardwood, Tile",Poured Concrete,Forced Air,"Closet Organizers, Double Vanity, Kitchen Island, No Animal Home, No Smoking Home, Skylight(s), Walk-In Closet(s)",Two,Single Garage Detached,Asphalt Shingle,M-C1,,,,,Yes,,,,,,,,,,,,,,,
464,"$599,000","280 Westwood Drive SW, Calgary, AB, T3C 2W3",1016.60,3+0,1+0,Bungalow,,1960,,"Stucco, Wood Frame",None,"Private Entrance, Private Yard",Gas,1016.60 Square Feet,"Hardwood, Laminate",Poured Concrete,"Central, Forced Air, Natural Gas","Ceiling Fan(s), Separate Entrance",One,Double Garage Detached,Asphalt Shingle,R-C1,6479.00 Square Feet,,,,,,,,,,,,,,,,,,,
465,"$345,000","2807-1111 10 Street SW, Calgary, AB, T2R 1E3",589.00,1+0,1+0,High-Rise (5+),"Common Area Maintenance, Gas, Heat, Insurance, Professional Management, Reserve Fund Contributions, Security Personnel, Sewer, Snow Removal, Trash, Water",2012,$384 Monthly,"Concrete, Metal Siding, Stone",Central Air,None,,589.00 Square Feet,"Carpet, Tile",,Fan Coil,"High Ceilings, Open Floorplan, Recessed Lighting, See Remarks, Stone Counters, Walk-In Closet(s)",Single Level Unit,Underground,,CC-X,,,,,Yes,,,,,,,,,,,,,,,
466,"$1,349,900","2808 1 Avenue NW, Calgary, AB, T2N 0C8",2129.78,3+1,3+1,2 Storey,,2005,,"Stone, Stucco",None,"Fire Pit, Private Yard","Gas, Living Room, Recreation Room",2129.78 Square Feet,"Carpet, Hardwood, Tile",Poured Concrete,"In Floor, Forced Air, Natural Gas","Central Vacuum, Closet Organizers, Double Vanity, French Door, High Ceilings, Kitchen Island, No Animal Home, No Smoking Home, Open Floorplan, Pantry, Recessed Lighting, Soaking Tub, Stone Counters, Storage, Tankless Hot Water, Vaulted Ceiling(s), Walk-In Closet(s), Wet Bar",Two,"Double Garage Detached, Insulated, Oversized",Asphalt Shingle,R-C2,5500.00 Square Feet,,,,,,,,,,,,,,,,,,,
467,"$550,000","2816 14 Street SW, Calgary, AB, T2T 3V4",810.46,2+0,1+0,Bungalow,,1948,,"Stucco, Wood Frame",None,None,Wood Burning,810.46 Square Feet,"Carpet, Hardwood, Linoleum",Poured Concrete,Forced Air,See Remarks,One,Double Garage Attached,Asphalt Shingle,R-C1,7190.00 Square Feet,,,,,,,,,,,,,,,,,,,
468,"$609,900","282 Martha's Manor NE, Calgary, AB, T3J 4Y6",1847.00,3+2,3+1,2 Storey,,2002,,"Stone, Vinyl Siding, Wood Frame",None,"Other, Private Yard",,1847.00 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,"Forced Air, Natural Gas","Kitchen Island, Open Floorplan, Pantry, See Remarks, Storage",Two,"Additional Parking, Double Garage Attached, Garage Door Opener, Garage Faces Front, Insulated, Oversized",Asphalt Shingle,R-C1N,4079.00 Square Feet,,,,,,,,,,,,,,,,,,,
469,"$575,000","289 Skyview Ranch Boulevard NE, Calgary, AB, T3N 1B6",1538.00,3+0,2+1,2 Storey,,2013,,"Composite Siding, Vinyl Siding",None,"Garden, Private Yard",,1538.00 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,Forced Air,"Ceiling Fan(s), No Animal Home, No Smoking Home",Two,"Off Street, Parking Pad",Asphalt Shingle,R-2,2820.00 Square Feet,,,,,,,,,,,,,,,,,,,
470,"$635,000","29 Cawder Drive NW, Calgary, AB, T2L 0L8",1144.23,3+1,2+0,Bungalow,,1958,,"Cedar, Wood Frame",None,"Garden, Private Entrance, Private Yard",,1144.23 Square Feet,"Carpet, Hardwood",Poured Concrete,"Forced Air, Natural Gas","See Remarks, Storage, Vaulted Ceiling(s)",One,"Alley Access, Carport, On Street, Single Garage Detached",Asphalt Shingle,R-C1,5500.00 Square Feet,,,,,,,,,,,,,,,,,,,
471,"$715,000","29 Tuscany Springs Circle NW, Calgary, AB, T3L 2K8",1646.27,3+1,3+1,2 Storey,,2001,,"Concrete, Wood Frame",None,None,Gas,1646.27 Square Feet,"Carpet, Cork, Laminate, Tile",Poured Concrete,"Fireplace(s), Forced Air, Natural Gas","Laminate Counters, Low Flow Plumbing Fixtures, No Smoking Home, Open Floorplan",Two,"Double Garage Attached, Parking Pad",Asphalt,R1,3910.00 Square Feet,,,,,,,,,,,,,,,,,,,
472,"$1,294,900","2924 4 Avenue NW, Calgary, AB, T2N 0R3",1715.68,2+3,3+1,Bungalow,,1952,,"Concrete, ICFs (Insulated Concrete Forms), Stone, Stucco, Wood Frame",Central Air,"Barbecue, Fire Pit, Gas Grill, Outdoor Grill, Outdoor Kitchen, Private Yard, Storage","Gas, Living Room",1715.68 Square Feet,"Carpet, Cork, Hardwood, Tile","ICF Block, Poured Concrete","In Floor, Fireplace(s), Forced Air, Natural Gas","Bookcases, Built-in Features, Ceiling Fan(s), Central Vacuum, Closet Organizers, Granite Counters, High Ceilings, Kitchen Island, Natural Woodwork, No Smoking Home, Open Floorplan, Recessed Lighting, Separate Entrance, Skylight(s), Soaking Tub, Storage, Walk-In Closet(s)",One,"220 Volt Wiring, Alley Access, Garage Door Opener, Garage Faces Rear, Heated Garage, Insulated, Off Street, On Street, Outside, Oversized, Parking Pad, RV Access/Parking, Workshop in Garage",Asphalt Shingle,R-C2,7696.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
473,"$1,150,000","295 West Grove Pointe SW, Calgary, AB, T3H 3A9",2536.80,3+1,3+1,2 Storey,,2018,,"Composite Siding, Stone, Wood Frame",None,Private Yard,Electric,2536.80 Square Feet,"Carpet, Laminate, Tile",Poured Concrete,"Forced Air, Natural Gas","Built-in Features, Kitchen Island, Wet Bar",Two,Double Garage Attached,Asphalt Shingle,R-1s,3971.00 Square Feet,,,,,,,,,,,,,,,,,,,
474,"$129,900","3-11415 8 Street SW, Calgary, AB, T2W 2N4",497.30,1+0,1+0,Low-Rise(1-4),"Common Area Maintenance, Heat, Insurance, Reserve Fund Contributions, Sewer, Snow Removal, Water",1976,$370 Monthly,"Stucco, Wood Frame, Wood Siding",None,None,,497.30 Square Feet,"Laminate, Linoleum",Poured Concrete,"Hot Water, Natural Gas","Ceiling Fan(s), Laminate Counters, No Animal Home, No Smoking Home, See Remarks, Storage",Single Level Unit,"Alley Access, Assigned, See Remarks, Stall",Asphalt Shingle,M-C1,,,,,,,,,,,,,,,,,,,,
475,"$299,900","3-6408 Bowwood Drive NW, Calgary, AB, T3B 2G6",1014.00,2+0,2+1,2 Storey,Reserve Fund Contributions,1997,$175 Monthly,"Vinyl Siding, Wood Frame",None,None,"Gas, Living Room",1014.00 Square Feet,"Carpet, Ceramic Tile, Laminate",Poured Concrete,Forced Air,"Bar, Laminate Counters, No Smoking Home",Two,Stall,Asphalt Shingle,M-C1,,,,,,,,,,,,,,,,,,,,
476,"$219,000","3-7630 Ogden Road SE, Calgary, AB, T2C 1C1",581.07,0+3,1+1,2 Storey,"Common Area Maintenance, Maintenance Grounds, Parking, Professional Management, Reserve Fund Contributions, Snow Removal",1977,$280 Monthly,"Metal Siding, Stucco, Wood Frame",None,Private Entrance,,581.07 Square Feet,"Linoleum, Tile",Poured Concrete,"Forced Air, Natural Gas","No Animal Home, No Smoking Home",Two,Stall,Asphalt Shingle,DC,,,,,,,,,,,,,,,,,,,,
477,"$385,000","3-7900 Silver Springs Road NW, Calgary, AB, T3B 4J5",1278.00,2+0,1+2,2 Storey,"Maintenance Grounds, Parking, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Trash, Water",1980,$490 Monthly,"Wood Frame, Wood Siding",None,Private Entrance,Wood Burning,1278.00 Square Feet,"Hardwood, Laminate",Poured Concrete,Forced Air,"High Ceilings, Vaulted Ceiling(s)",Two,Single Garage Attached,Asphalt Shingle,M-C1 d75,,,,,,,,,,,,,,,,,,,,
478,"$589,900","3 Chaparral Link SE, Calgary, AB, T2X 3J6",1885.41,3+0,2+1,2 Storey,,1996,,"Brick, Vinyl Siding, Wood Frame",None,"Garden, Other",Gas,1885.41 Square Feet,"Carpet, Hardwood, Linoleum",Poured Concrete,"Forced Air, Natural Gas",Walk-In Closet(s),Two,Double Garage Attached,Asphalt Shingle,R-1,5737.00 Square Feet,,,,,,,,,,,,,,,,,,,
479,"$839,000","3 Sierra Morena Manor SW, Calgary, AB, T3H 1S9",1373.00,2+1,3+0,"Bungalow, Side by Side","Amenities of HOA/Condo, Common Area Maintenance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal",2015,$384 Monthly,"Composite Siding, Stone",Central Air,Other,Gas,1373.00 Square Feet,Hardwood,Poured Concrete,"Central, Natural Gas","Kitchen Island, No Animal Home, No Smoking Home, Open Floorplan, Walk-In Closet(s)",One,"Concrete Driveway, Double Garage Attached",Asphalt,DC,4693.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
480,"$465,000","30 34 Avenue SW, Calgary, AB, T2S 2Z2",687.08,2+1,2+0,Bungalow,,1952,,"Concrete, Wood Frame",None,"Private Yard, Storage",,687.08 Square Feet,"Carpet, Ceramic Tile, Laminate",Poured Concrete,"Forced Air, Natural Gas",Storage,One,"Off Street, On Street, Other",Asphalt Shingle,M-CG d72,3756.00 Square Feet,,,,,,,,,,,,,,,,,,,
481,"$549,900","30 Auburn Bay Gardens SE, Calgary, AB, T3M 0K3",1341.00,3+0,2+2,2 Storey,,2009,,"Vinyl Siding, Wood Frame",None,"Playground, Private Yard",,1341.00 Square Feet,"Carpet, Ceramic Tile, Laminate",Poured Concrete,"Forced Air, Natural Gas","Granite Counters, No Smoking Home, Soaking Tub",Two,Double Garage Detached,Asphalt Shingle,R-1N,2800.00 Square Feet,,,,,,,,,,,,,,,,,,,
482,"$499,900","30 Cranford Common SE, Calgary, AB, T3M 1V5",1342.90,3+0,2+1,2 Storey,,2013,,"Vinyl Siding, Wood Frame",None,Private Yard,,1342.90 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,"Forced Air, Natural Gas","Bathroom Rough-in, Breakfast Bar, Closet Organizers, Granite Counters, No Animal Home, No Smoking Home, Open Floorplan, Pantry, Sauna, Walk-In Closet(s)",Two,"Alley Access, Off Street, Parking Pad",Asphalt Shingle,R-1N,2755.00 Square Feet,,,,,,,,,,,,,,,,,,,
483,"$514,900","30 Tarington Gardens NE, Calgary, AB, T3J 4W6",1345.40,3+0,3+1,2 Storey,,2000,,"Concrete, Vinyl Siding",None,Playground,,1345.40 Square Feet,"Carpet, Linoleum",Poured Concrete,Forced Air,"No Animal Home, No Smoking Home",Two,Double Garage Detached,Asphalt Shingle,R-1N,3046.00 Square Feet,,,,,,,,,,,,,,,,,,,
